codigo_acao_orcamentaria	nome_acao_orcamentaria	procv_funcao_no_access_da_camara
0087	CONTRIBUICAO A UNIAO POSTAL UNIVERSAL - UPU (MC)	Encargos Especiais
0088	CONTRIBUICAO A UNIAO POSTAL DAS AMERICAS, ESPANHA E PORTUGAL - UPAEP (MC)	Encargos Especiais
0089	CONTRIBUICAO A UNIAO INTERNACIONAL DE TELECOMUNICACOES - UIT (ANATEL)	Encargos Especiais
0089	PREVIDENCIA DE INATIVOS E PENSIONISTAS DA UNIAO	Encargos Especiais
008A	CONTRIBUICAO A ACADEMIA BRASILEIRA DE CIENCIAS - ABC	Encargos Especiais
008G	DEVOLUCAO DE PREMIO DE SEGURO DE CREDITO A EXPORTACAO	Encargos Especiais
0095	RESSARCIMENTO AS EMPRESAS BRASILEIRAS DE NAVEGACAO	Transporte
0099	CONTRIBUICAO AO CENTRO DE ESTUDOS MONETARIOS LATINO-AMERICANO - CEMLA	Encargos Especiais
009B	CONTRIBUICAO AO FUNDO PARA A CONVERGENCIA ESTRUTURAL DO MERCOSUL - FOCEM (MRE)	Encargos Especiais
009D	CONTRIBUICAO AO INSTITUTO SOCIAL DO MERCOSUL - ISM (MDS)	Encargos Especiais
009J	SUBVENCAO ECONOMICA NOS FINANCIAMENTOS DESTINADOS A REESTRUTURACAO PRODUTIVA E AS EXPORTACOES (LEI N. 11.529, DE 2007)	Indústria
009K	COMPLEMENTACAO DE APOSENTADORIAS E PENSOES DA EXTINTA RFFSA	Previdência Social
009M	CONTRIBUICAO A ORGANIZACAO INTERNACIONAL DA VINHA E DO VINHO - OIVV (MAPA)	Encargos Especiais
009O	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESTADO DE SAO PAULO - IMPLANTACAO DA AVENIDA PERIMETRAL PORTUARIA NO PORTO DE SANTOS - NO MUNICIPIO DE GUARUJA (SP)	Encargos Especiais
009T	SERVICOS PUBLICOS DE SAUDE DO DISTRITO FEDERAL	Encargos Especiais
009V	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESTADO DE SAO PAULO - MELHORIA DA INFRAESTRUTURA E DA OPERACAO PORTUARIA	Encargos Especiais
009W	COMPENSACAO PREVIDENCIARIA	Previdência Social
00A2	PARTICIPACAO DA UNIAO NO CAPITAL DO SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO	Encargos Especiais
00AE	PARTICIPACAO DA UNIAO NO CAPITAL - TELECOMUNICACOES BRASILEIRAS S.A. - TELEBRAS - IMPLANTACAO DA REDE NACIONAL DE BANDA LARGA E ATENDIMENTO A PROJETOS ESTRATEGICOS DO GOVERNO	Encargos Especiais
00AF	INTEGRALIZACAO DE COTAS AO FUNDO DE ARRENDAMENTO RESIDENCIAL - FAR	Encargos Especiais
00AH	PAGAMENTO DE DEBITOS DE OBRAS DE INFRAESTRUTURA	Transporte
00AQ	CONTRIBUICAO A ORGANIZACAO IBEROAMERICANA DE JUVENTUDE - OIJ (PR)	Encargos Especiais
00AT	CONTRIBUICAO AO PROTOCOLO DE KIOTO (MCTI)	Encargos Especiais
00AV	CONTRIBUICAO A ASSOCIACAO DOS SUPERVISORES BANCARIOS DAS AMERICAS - ASBA	Encargos Especiais
00B1	CONTRIBUICAO A UNIAO INTERNACIONAL DOS SERVICOS GEOLOGICOS - IUGS (MME)	Encargos Especiais
00B2	CONTRIBUICAO A COMISSAO DA CARTA GEOLOGICA DO MUNDO - CGMW (MME)	Encargos Especiais
00B5	CONTRIBUICAO A ASSOCIACAO GRUPO DE TORDESILHAS DE UNIVERSIDADES (MEC)	Encargos Especiais
00B6	CONTRIBUICAO A ORGANIZACAO INTERNACIONAL DE SUPERVISORES DE PREVIDENCIA PRIVADA - IOPS (MPS)	Encargos Especiais
00B7	CONTRIBUICAO A ORGANIZACAO DOS ESTADOS AMERICANOS - OEA (MRE)	Encargos Especiais
00B9	CONTRIBUICAO A ORGANIZACAO DAS NACOES UNIDAS PARA A EDUCACAO, A CIENCIA E A CULTURA - UNESCO (MEC)	Encargos Especiais
00BA	CONTRIBUICAO A ORGANIZACAO DAS NACOES UNIDAS PARA A EDUCACAO, A CIENCIA E A CULTURA - UNESCO (MRE)	Encargos Especiais
00BC	CONTRIBUICAO A AGENCIA BRASILEIRO-ARGENTINA DE CONTABILIDADE E CONTROLE DE MATERIAIS NUCLEARES - ABACC (MRE)	Encargos Especiais
00BD	CONTRIBUICAO AO ESCRITORIO INTERNACIONAL DE TARIFAS ADUANEIRAS - BITA (MRE)	Encargos Especiais
00BE	CONTRIBUICAO AO ESCRITORIO INTERNATIONAL DE EXPOSICOES - BIE (MRE)	Encargos Especiais
00BF	CONTRIBUICAO A COMISSAO INTERNACIONAL HUMANITARIA PARA O ESTABELECIMENTO DE FATOS - CIHEF - FACT FINDING (MRE)	Encargos Especiais
00BG	CONTRIBUICAO A COMISSAO PREPARATORIA DA ORGANIZACAO DO TRATADO DE PROIBICAO COMPLETA DE TESTES NUCLEARES - CTBTO (MRE)	Encargos Especiais
00BH	CONTRIBUICAO A CONVENCAO SOBRE A PROIBICAO DE ARMAS BIOLOGICAS - CPAB (MRE)	Encargos Especiais
00BI	CONTRIBUICAO A CONVENCAO SOBRE CERTAS ARMAS CONVENCIONAIS - CCAC (MRE)	Encargos Especiais
00BJ	CONTRIBUICAO A CORTE PERMANENTE DE ARBITRAGEM - CPA (MRE)	Encargos Especiais
00BK	CONTRIBUICAO A FACULDADE LATINO-AMERICANA DE CIENCIAS SOCIAIS - FLACSO (MRE)	Encargos Especiais
00BN	CONTRIBUICAO AO INSTITUTO INTERNACIONAL PELA UNIFICACAO DO DIREITO INTERNACIONAL PRIVADO - UNIDROIT (MRE)	Encargos Especiais
00BO	CONTRIBUICAO AO INSTITUTO ITALO-LATINO-AMERICANO - IILA (MRE)	Encargos Especiais
00BQ	CONTRIBUICAO AO INSTITUTO PAN-AMERICANO DE GEOGRAFIA E HISTORIA - IPGH (MRE)	Encargos Especiais
00BR	CONTRIBUICAO A ORGANIZACAO PARA A PROSCRICAO DE ARMAS NUCLEARES NA AMERICA LATINA - OPANAL (MRE)	Encargos Especiais
00BS	CONTRIBUICAO AO SISTEMA ECONOMICO LATINO-AMERICANO - SELA (MRE)	Encargos Especiais
00BT	CONTRIBUICAO AO TRATADO DA ANTARTIDA - TA (MRE)	Encargos Especiais
00BU	CONTRIBUICAO AO TRIBUNAL INTERNACIONAL DO DIREITO DO MAR - TIDM (MRE)	Encargos Especiais
00BV	CONTRIBUICAO A UNIAO LATINA - UL (MRE)	Encargos Especiais
00BY	CONTRIBUICAO AO CONSELHO INTERNACIONAL DE ARQUIVOS - CIA (MINC)	Encargos Especiais
00C0	CONTRIBUICAO A CONVENCAO SOBRE O COMERCIO INTERNACIONAL DE ESPECIES DA FLORA E DA FAUNA SELVAGENS EM PERIGO DE EXTINCAO - CITES (MMA)	Encargos Especiais
00C8	INTEGRALIZACAO DE COTAS DO BANCO DE DESENVOLVIMENTO DO CARIBE - BDC	Administração
00C9	INTEGRALIZACAO DE COTAS DA CORPORACAO ANDINA DE FOMENTO - CAF	Encargos Especiais
00CB	CONCESSAO DE BOLSAS DE ESTUDO A ALUNOS ESTRANGEIROS, NO SISTEMA EDUCACIONAL BRASILEIRO	Relações Exteriores
00CC	CONCESSAO DE BOLSAS DE ESTUDO A CANDIDATOS AFRODESCENDENTES A CARREIRA DIPLOMATICA	Relações Exteriores
00CW	SUBVENCAO ECONOMICA DESTINADA A IMPLEMENTACAO DE PROJETOS DE INTERESSE SOCIAL EM AREAS URBANAS (LEI N. 11.977, DE 2009)	Encargos Especiais
00CX	SUBVENCAO ECONOMICA DESTINADA A IMPLEMENTACAO DE PROJETOS DE INTERESSE SOCIAL EM AREAS RURAIS (LEI N. 11.977, DE 2009)	Encargos Especiais
00CY	TRANSFERENCIAS AO FUNDO DE DESENVOLVIMENTO SOCIAL - FDS (LEI N. 11.977, DE 2009)	Encargos Especiais
00CZ	INTEGRALIZACAO DE COTAS DO FUNDO GARANTIDOR DA HABITACAO POPULAR - FGHAB	Encargos Especiais
00D6	CONTRIBUICAO A UNIAO GEODESICA E GEOFISICA INTERNACIONAL - UGGI (MP)	Encargos Especiais
00D8	CONTRIBUICAO A AGENCIA INTERNACIONAL ANTIDOPING - WADA	Encargos Especiais
00D9	CONTRIBUICAO AO INSTITUTO INTERNACIONAL DE CIENCIAS ADMINISTRATIVAS - IIAS (MP)	Encargos Especiais
00DN	CONTRIBUICAO VOLUNTARIA AO CENTRO-SUL - CS (MRE)	Encargos Especiais
00DZ	CONTRIBUICAO AO PROTOCOLO DE CARTAGENA SOBRE BIOSSEGURANCA - PROTOCOLO DE CARTAGENA (MRE)	Encargos Especiais
00E0	CONTRIBUICAO VOLUNTARIA A REDE INTERNACIONAL DE CENTROS DE ASTROFISICA RELATIVISTICA - ICRANET (MCTI)	Encargos Especiais
00E7	CONTRIBUICAO VOLUNTARIA A CONVENCAO DE VIENA PARA A PROTECAO DA CAMADA DE OZONIO - CONVENCAO DE VIENA (MRE)	Encargos Especiais
00E8	CONTRIBUICAO A ORGANIZACAO INTERNACIONAL PARA AS MIGRACOES - OIM (MTB)	Encargos Especiais
