codigo_acao_orcamentaria	nome_acao_orcamentaria	procv_funcao_no_access_da_camara
00I1	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - AMPLIACAO DO QUEBRA-MAR NO PORTO DE SALVADOR (BA)	Encargos Especiais
00I5	CONTRIBUICAO AO INSTITUTO DE POLITICAS PUBLICAS DE DIREITOS HUMANOS DO MERCOSUL - IPPDH (PR)	Encargos Especiais
00I9	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO CEARA - CONSTRUCAO E PAVIMENTACAO DE TERMINAL DE CONTEINERES NO PORTO DE FORTALEZA (CE)	Encargos Especiais
00IB	CONTRIBUICAO A FUNDACAO PARA PADRONIZACAO DE RELATORIOS FINANCEIROS INTERNACIONAIS - IFRS	Encargos Especiais
00ID	CONTRIBUICAO AO CONSELHO NACIONAL DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA - CONIF	Encargos Especiais
00IE	CONTRIBUICAO A ASSOCIACAO NACIONAL DOS DIRIGENTES DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - ANDIFES	Educação
00IG	CONCESSAO DE FINANCIAMENTO ESTUDANTIL - FIES (LEI N. 10.260, DE 2001)	Educação
00IH	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO RIO GRANDE DO NORTE - IMPLANTACAO DE TERMINAL MARITIMO DE PASSAGEIROS NO PORTO DE NATAL (RN)	Encargos Especiais
00II	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO CEARA - IMPLANTACAO DE TERMINAL MARITIMO DE PASSAGEIROS NO PORTO DE FORTALEZA (CE)	Encargos Especiais
00IK	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - IMPLANTACAO DE TERMINAL MARITIMO DE PASSAGEIROS NO PORTO DE SALVADOR (BA)	Encargos Especiais
00IM	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESTADO DE SAO PAULO - ADEQUACAO DO CAIS PARA TERMINAL DE PASSAGEIROS NO PORTO DE SANTOS (SP)	Encargos Especiais
00IN	BENEFICIOS DE PRESTACAO CONTINUADA (BPC) A PESSOA COM DEFICIENCIA E DA RENDA MENSAL VITALICIA (RMV) POR INVALIDEZ	Assistência Social
00IP	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO CEARA - IMPLANTACAO DO SISTEMA DE APOIO DE GESTAO DE TRAFEGO DE NAVIOS	Encargos Especiais
00IR	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO CEARA - IMPLANTACAO DO SISTEMA DE APOIO AO GERENCIAMENTO DA INFRAESTRUTURA PORTUARIA	Encargos Especiais
00IS	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO CEARA - IMPLANTACAO DO SISTEMA DE CARGA INTELIGENTE E CADEIA LOGISTICA INTELIGENTE	Encargos Especiais
00IT	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESPIRITO SANTO - IMPLANTACAO DO SISTEMA DE APOIO DE GESTAO DE TRAFEGO DE NAVIOS	Encargos Especiais
00IU	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESPIRITO SANTO - IMPLANTACAO DO SISTEMA DE APOIO AO GERENCIAMENTO DA INFRAESTRUTURA PORTUARIA	Encargos Especiais
00IW	CONTRIBUICAO AO FUNDO PARA A SALVAGUARDA DO PATRIMONIO CULTURAL IMATERIAL - FPCI (MINC)	Encargos Especiais
00J0	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESPIRITO SANTO - IMPLANTACAO DO SISTEMA DE CARGA INTELIGENTE E CADEIA LOGISTICA INTELIGENTE	Encargos Especiais
00J2	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DA BAHIA - IMPLANTACAO DO SISTEMA DE APOIO DE GESTAO DE TRAFEGO DE NAVIOS	Encargos Especiais
00J4	FINANCIAMENTO DE PROJETOS PARA MITIGACAO E ADAPTACAO A MUDANCA DO CLIMA	Gestão Ambiental
00J7	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DA BAHIA - IMPLANTACAO DO SISTEMA DE CARGA INTELIGENTE E CADEIA LOGISTICA INTELIGENTE	Encargos Especiais
00J8	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESTADO DE SAO PAULO - IMPLANTACAO DO SISTEMA DE CARGA INTELIGENTE E CADEIA LOGISTICA INTELIGENTE	Encargos Especiais
00JA	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO RIO DE JANEIRO - IMPLANTACAO DO SISTEMA DE APOIO DE GESTAO DE TRAFEGO DE NAVIOS	Encargos Especiais
00JB	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO RIO DE JANEIRO - IMPLANTACAO DO SISTEMA DE APOIO AO GERENCIAMENTO DA INFRAESTRUTURA PORTUARIA	Encargos Especiais
00JC	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO RIO DE JANEIRO - IMPLANTACAO DO SISTEMA DE CARGA INTELIGENTE E CADEIA LOGISTICA INTELIGENTE	Encargos Especiais
00JE	FINANCIAMENTO IMOBILIARIO PARA O PESSOAL DA AERONAUTICA	Defesa Nacional
00JO	SUBVENCAO ECONOMICA EM OPERACOES DE MICROCREDITO PRODUTIVO ORIENTADO (LEI N. 11.110, DE 2005)	Trabalho
00LI	COMPENSACAO AO FUNDO DO REGIME GERAL DE PREVIDENCIA SOCIAL - FRGPS (LEI N. 12.546, DE 2011)	Encargos Especiais
00LK	CONTRIBUICAO VOLUNTARIA AO INSTITUTO SOCIAL DO MERCOSUL - ISM VOLUNTARIO (MDS)	Encargos Especiais
00LL	CONTRIBUICAO AO CENTRO DE ANALISE ESTRATEGICA DA COMUNIDADE DOS PAISES DE LINGUA PORTUGUESA - CAE CPLP (MD)	Encargos Especiais
00LM	CONTRIBUICAO A AGENCIA UNIVERSITARIA DA FRANCOFONIA - AUF (MEC)	Encargos Especiais
